Name	ReportingUnitType
Michigan;MI House District 1	state-house
Michigan;MI House District 2	state-house
Michigan;MI House District 3	state-house
Michigan;MI House District 4	state-house
Michigan;MI House District 5	state-house
Michigan;MI House District 6	state-house
Michigan;MI House District 7	state-house
Michigan;MI House District 8	state-house
Michigan;MI House District 9	state-house
Michigan;MI House District 10	state-house
Michigan;MI House District 11	state-house
Michigan;MI House District 12	state-house
Michigan;MI House District 13	state-house
Michigan;MI House District 14	state-house
Michigan;MI House District 15	state-house
Michigan;MI House District 16	state-house
Michigan;MI House District 17	state-house
Michigan;MI House District 18	state-house
Michigan;MI House District 19	state-house
Michigan;MI House District 20	state-house
Michigan;MI House District 21	state-house
Michigan;MI House District 22	state-house
Michigan;MI House District 23	state-house
Michigan;MI House District 24	state-house
Michigan;MI House District 25	state-house
Michigan;MI House District 26	state-house
Michigan;MI House District 27	state-house
Michigan;MI House District 28	state-house
Michigan;MI House District 29	state-house
Michigan;MI House District 30	state-house
Michigan;MI House District 31	state-house
Michigan;MI House District 32	state-house
Michigan;MI House District 33	state-house
Michigan;MI House District 34	state-house
Michigan;MI House District 35	state-house
Michigan;MI House District 36	state-house
Michigan;MI House District 37	state-house
Michigan;MI House District 38	state-house
Michigan;MI House District 39	state-house
Michigan;MI House District 40	state-house
Michigan;MI House District 41	state-house
Michigan;MI House District 42	state-house
Michigan;MI House District 43	state-house
Michigan;MI House District 44	state-house
Michigan;MI House District 45	state-house
Michigan;MI House District 46	state-house
Michigan;MI House District 47	state-house
Michigan;MI House District 48	state-house
Michigan;MI House District 49	state-house
Michigan;MI House District 50	state-house
Michigan;MI House District 51	state-house
Michigan;MI House District 52	state-house
Michigan;MI House District 53	state-house
Michigan;MI House District 54	state-house
Michigan;MI House District 55	state-house
Michigan;MI House District 56	state-house
Michigan;MI House District 57	state-house
Michigan;MI House District 58	state-house
Michigan;MI House District 59	state-house
Michigan;MI House District 60	state-house
Michigan;MI House District 61	state-house
Michigan;MI House District 62	state-house
Michigan;MI House District 63	state-house
Michigan;MI House District 64	state-house
Michigan;MI House District 65	state-house
Michigan;MI House District 66	state-house
Michigan;MI House District 67	state-house
Michigan;MI House District 68	state-house
Michigan;MI House District 69	state-house
Michigan;MI House District 70	state-house
Michigan;MI House District 71	state-house
