cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	NE House District 1	NE House District 1
CandidateContest	NE House District 2	NE House District 2
CandidateContest	NE House District 3	NE House District 3
CandidateContest	NE House District 4	NE House District 4
CandidateContest	NE House District 5	NE House District 5
CandidateContest	NE House District 6	NE House District 6
CandidateContest	NE House District 7	NE House District 7
CandidateContest	NE House District 8	NE House District 8
CandidateContest	NE House District 9	NE House District 9
CandidateContest	NE House District 10	NE House District 10
CandidateContest	NE House District 11	NE House District 11
CandidateContest	NE House District 12	NE House District 12
CandidateContest	NE House District 13	NE House District 13
CandidateContest	NE House District 14	NE House District 14
CandidateContest	NE House District 15	NE House District 15
CandidateContest	NE House District 16	NE House District 16
CandidateContest	NE House District 17	NE House District 17
CandidateContest	NE House District 18	NE House District 18
CandidateContest	NE House District 19	NE House District 19
CandidateContest	NE House District 20	NE House District 20
CandidateContest	NE House District 21	NE House District 21
CandidateContest	NE House District 22	NE House District 22
CandidateContest	NE House District 23	NE House District 23
CandidateContest	NE House District 24	NE House District 24
CandidateContest	NE House District 25	NE House District 25
CandidateContest	NE House District 26	NE House District 26
CandidateContest	NE House District 27	NE House District 27
CandidateContest	NE House District 28	NE House District 28
CandidateContest	NE House District 29	NE House District 29
CandidateContest	NE House District 30	NE House District 30
CandidateContest	NE House District 31	NE House District 31
CandidateContest	NE House District 32	NE House District 32
CandidateContest	NE House District 33	NE House District 33
CandidateContest	NE House District 34	NE House District 34
CandidateContest	NE House District 35	NE House District 35
CandidateContest	NE House District 36	NE House District 36
CandidateContest	NE House District 37	NE House District 37
CandidateContest	NE House District 38	NE House District 38
CandidateContest	NE House District 39	NE House District 39
CandidateContest	NE House District 40	NE House District 40
CandidateContest	NE House District 41	NE House District 41
CandidateContest	NE House District 42	NE House District 42
CandidateContest	NE House District 43	NE House District 43
CandidateContest	NE House District 44	NE House District 44
CandidateContest	NE House District 45	NE House District 45
CandidateContest	NE House District 46	NE House District 46
CandidateContest	NE House District 47	NE House District 47
CandidateContest	NE House District 48	NE House District 48
CandidateContest	NE House District 49	NE House District 49
CandidateContest	US House NE District 1	US House NE District 1
CandidateContest	US House NE District 2	US House NE District 2
CandidateContest	US House NE District 3	US House NE District 3
CandidateContest	US President (NE)	US President (NE)
CandidateContest	NE Governor	NE Governor
CandidateContest	US Senate NE	US Senate NE
CandidateContest	NE Attorney General	NE Attorney General
CandidateContest	NE Lieutenant Governor	NE Lieutenant Governor
CandidateContest	NE Treasurer	NE Treasurer
CandidateContest	NE Secretary of State	NE Secretary of State
Election	2020 General	2020 General
Election	2020 Primary	2020 Primary
Election	2018 General	2018 General
Election	2016 General	2016 General
Party	Democratic Party	Democratic Party
Party	Republican Party	Republican Party
Party	Green Party	Green Party
Party	Libertarian Party	Libertarian Party
ReportingUnit	Nebraska;NE House District 1	Nebraska;NE House District 1
ReportingUnit	Nebraska;NE House District 2	Nebraska;NE House District 2
ReportingUnit	Nebraska;NE House District 3	Nebraska;NE House District 3
ReportingUnit	Nebraska;NE House District 4	Nebraska;NE House District 4
ReportingUnit	Nebraska;NE House District 5	Nebraska;NE House District 5
ReportingUnit	Nebraska;NE House District 6	Nebraska;NE House District 6
ReportingUnit	Nebraska;NE House District 7	Nebraska;NE House District 7
ReportingUnit	Nebraska;NE House District 8	Nebraska;NE House District 8
ReportingUnit	Nebraska;NE House District 9	Nebraska;NE House District 9
ReportingUnit	Nebraska;NE House District 10	Nebraska;NE House District 10
ReportingUnit	Nebraska;NE House District 11	Nebraska;NE House District 11
ReportingUnit	Nebraska;NE House District 12	Nebraska;NE House District 12
ReportingUnit	Nebraska;NE House District 13	Nebraska;NE House District 13
ReportingUnit	Nebraska;NE House District 14	Nebraska;NE House District 14
ReportingUnit	Nebraska;NE House District 15	Nebraska;NE House District 15
ReportingUnit	Nebraska;NE House District 16	Nebraska;NE House District 16
ReportingUnit	Nebraska;NE House District 17	Nebraska;NE House District 17
ReportingUnit	Nebraska;NE House District 18	Nebraska;NE House District 18
ReportingUnit	Nebraska;NE House District 19	Nebraska;NE House District 19
ReportingUnit	Nebraska;NE House District 20	Nebraska;NE House District 20
ReportingUnit	Nebraska;NE House District 21	Nebraska;NE House District 21
ReportingUnit	Nebraska;NE House District 22	Nebraska;NE House District 22
ReportingUnit	Nebraska;NE House District 23	Nebraska;NE House District 23
ReportingUnit	Nebraska;NE House District 24	Nebraska;NE House District 24
ReportingUnit	Nebraska;NE House District 25	Nebraska;NE House District 25
ReportingUnit	Nebraska;NE House District 26	Nebraska;NE House District 26
ReportingUnit	Nebraska;NE House District 27	Nebraska;NE House District 27
ReportingUnit	Nebraska;NE House District 28	Nebraska;NE House District 28
ReportingUnit	Nebraska;NE House District 29	Nebraska;NE House District 29
ReportingUnit	Nebraska;NE House District 30	Nebraska;NE House District 30
ReportingUnit	Nebraska;NE House District 31	Nebraska;NE House District 31
ReportingUnit	Nebraska;NE House District 32	Nebraska;NE House District 32
ReportingUnit	Nebraska;NE House District 33	Nebraska;NE House District 33
ReportingUnit	Nebraska;NE House District 34	Nebraska;NE House District 34
ReportingUnit	Nebraska;NE House District 35	Nebraska;NE House District 35
ReportingUnit	Nebraska;NE House District 36	Nebraska;NE House District 36
ReportingUnit	Nebraska;NE House District 37	Nebraska;NE House District 37
ReportingUnit	Nebraska;NE House District 38	Nebraska;NE House District 38
ReportingUnit	Nebraska;NE House District 39	Nebraska;NE House District 39
ReportingUnit	Nebraska;NE House District 40	Nebraska;NE House District 40
ReportingUnit	Nebraska;NE House District 41	Nebraska;NE House District 41
ReportingUnit	Nebraska;NE House District 42	Nebraska;NE House District 42
ReportingUnit	Nebraska;NE House District 43	Nebraska;NE House District 43
ReportingUnit	Nebraska;NE House District 44	Nebraska;NE House District 44
ReportingUnit	Nebraska;NE House District 45	Nebraska;NE House District 45
ReportingUnit	Nebraska;NE House District 46	Nebraska;NE House District 46
ReportingUnit	Nebraska;NE House District 47	Nebraska;NE House District 47
ReportingUnit	Nebraska;NE House District 48	Nebraska;NE House District 48
ReportingUnit	Nebraska;NE House District 49	Nebraska;NE House District 49
ReportingUnit	Nebraska;US House NE District 1	Nebraska;US House NE District 1
ReportingUnit	Nebraska;US House NE District 2	Nebraska;US House NE District 2
ReportingUnit	Nebraska;US House NE District 3	Nebraska;US House NE District 3
ReportingUnit	Nebraska	Nebraska
ReportingUnit	Nebraska;Adams County	Adams
ReportingUnit	Nebraska;Antelope County	Antelope
ReportingUnit	Nebraska;Arthur County	Arthur
ReportingUnit	Nebraska;Banner County	Banner
ReportingUnit	Nebraska;Blaine County	Blaine
ReportingUnit	Nebraska;Boone County	Boone
ReportingUnit	Nebraska;Box Butte County	Box Butte
ReportingUnit	Nebraska;Boyd County	Boyd
ReportingUnit	Nebraska;Brown County	Brown
ReportingUnit	Nebraska;Buffalo County	Buffalo
ReportingUnit	Nebraska;Burt County	Burt
ReportingUnit	Nebraska;Butler County	Butler
ReportingUnit	Nebraska;Cass County	Cass
ReportingUnit	Nebraska;Cedar County	Cedar
ReportingUnit	Nebraska;Chase County	Chase
ReportingUnit	Nebraska;Cherry County	Cherry
