Name	NumberElected	Office	PrimaryParty
MT House District 1	1	MT House District 1	
MT House District 2	1	MT House District 2	
MT House District 3	1	MT House District 3	
MT House District 4	1	MT House District 4	
MT House District 5	1	MT House District 5	
MT House District 6	1	MT House District 6	
MT House District 7	1	MT House District 7	
MT House District 8	1	MT House District 8	
MT House District 9	1	MT House District 9	
MT House District 10	1	MT House District 10	
MT House District 11	1	MT House District 11	
MT House District 12	1	MT House District 12	
MT House District 13	1	MT House District 13	
MT House District 14	1	MT House District 14	
MT House District 15	1	MT House District 15	
MT House District 16	1	MT House District 16	
MT House District 17	1	MT House District 17	
MT House District 18	1	MT House District 18	
MT House District 19	1	MT House District 19	
MT House District 20	1	MT House District 20	
MT House District 21	1	MT House District 21	
MT House District 22	1	MT House District 22	
MT House District 23	1	MT House District 23	
MT House District 24	1	MT House District 24	
MT House District 25	1	MT House District 25	
MT House District 26	1	MT House District 26	
MT House District 27	1	MT House District 27	
MT House District 28	1	MT House District 28	
MT House District 29	1	MT House District 29	
MT House District 30	1	MT House District 30	
MT House District 31	1	MT House District 31	
MT House District 32	1	MT House District 32	
MT House District 33	1	MT House District 33	
MT House District 34	1	MT House District 34	
MT House District 35	1	MT House District 35	
MT House District 36	1	MT House District 36	
MT House District 37	1	MT House District 37	
MT House District 38	1	MT House District 38	
MT House District 39	1	MT House District 39	
MT House District 40	1	MT House District 40	
MT House District 41	1	MT House District 41	
MT House District 42	1	MT House District 42	
MT House District 43	1	MT House District 43	
MT House District 44	1	MT House District 44	
MT House District 45	1	MT House District 45	
MT House District 46	1	MT House District 46	
MT House District 47	1	MT House District 47	
MT House District 48	1	MT House District 48	
MT House District 49	1	MT House District 49	
MT House District 50	1	MT House District 50	
MT House District 51	1	MT House District 51	
MT House District 52	1	MT House District 52	
MT House District 53	1	MT House District 53	
MT House District 54	1	MT House District 54	
MT House District 55	1	MT House District 55	
MT House District 56	1	MT House District 56	
MT House District 57	1	MT House District 57	
MT House District 58	1	MT House District 58	
MT House District 59	1	MT House District 59	
MT House District 60	1	MT House District 60	
MT House District 61	1	MT House District 61	
MT House District 62	1	MT House District 62	
MT House District 63	1	MT House District 63	
MT House District 64	1	MT House District 64	
MT House District 65	1	MT House District 65	
MT House District 66	1	MT House District 66	
MT House District 67	1	MT House District 67	
MT House District 68	1	MT House District 68	
MT House District 69	1	MT House District 69	
MT House District 70	1	MT House District 70	
MT House District 71	1	MT House District 71	
MT House District 72	1	MT House District 72	
MT House District 73	1	MT House District 73	
MT House District 74	1	MT House District 74	
MT House District 75	1	MT House District 75	
MT House District 76	1	MT House District 76	
MT House District 77	1	MT House District 77	
