Name	NumberElected	Office	PrimaryParty
VA House District 1	1	VA House District 1	
VA House District 2	1	VA House District 2	
VA House District 3	1	VA House District 3	
VA House District 4	1	VA House District 4	
VA House District 5	1	VA House District 5	
VA House District 6	1	VA House District 6	
VA House District 7	1	VA House District 7	
VA House District 8	1	VA House District 8	
VA House District 9	1	VA House District 9	
VA House District 10	1	VA House District 10	
VA House District 11	1	VA House District 11	
VA House District 12	1	VA House District 12	
VA House District 13	1	VA House District 13	
VA House District 14	1	VA House District 14	
VA House District 15	1	VA House District 15	
VA House District 16	1	VA House District 16	
VA House District 17	1	VA House District 17	
VA House District 18	1	VA House District 18	
VA House District 19	1	VA House District 19	
VA House District 20	1	VA House District 20	
VA House District 21	1	VA House District 21	
VA House District 22	1	VA House District 22	
VA House District 23	1	VA House District 23	
VA House District 24	1	VA House District 24	
VA House District 25	1	VA House District 25	
VA House District 26	1	VA House District 26	
VA House District 27	1	VA House District 27	
VA House District 28	1	VA House District 28	
VA House District 29	1	VA House District 29	
VA House District 30	1	VA House District 30	
VA House District 31	1	VA House District 31	
VA House District 32	1	VA House District 32	
VA House District 33	1	VA House District 33	
VA House District 34	1	VA House District 34	
VA House District 35	1	VA House District 35	
VA House District 36	1	VA House District 36	
VA House District 37	1	VA House District 37	
VA House District 38	1	VA House District 38	
VA House District 39	1	VA House District 39	
VA House District 40	1	VA House District 40	
VA House District 41	1	VA House District 41	
VA House District 42	1	VA House District 42	
VA House District 43	1	VA House District 43	
VA House District 44	1	VA House District 44	
VA House District 45	1	VA House District 45	
VA House District 46	1	VA House District 46	
VA House District 47	1	VA House District 47	
VA House District 48	1	VA House District 48	
VA House District 49	1	VA House District 49	
VA House District 50	1	VA House District 50	
VA House District 51	1	VA House District 51	
VA House District 52	1	VA House District 52	
VA House District 53	1	VA House District 53	
VA House District 54	1	VA House District 54	
VA House District 55	1	VA House District 55	
VA House District 56	1	VA House District 56	
VA House District 57	1	VA House District 57	
VA House District 58	1	VA House District 58	
VA House District 59	1	VA House District 59	
VA House District 60	1	VA House District 60	
VA House District 61	1	VA House District 61	
VA House District 62	1	VA House District 62	
VA House District 63	1	VA House District 63	
VA House District 64	1	VA House District 64	
VA House District 65	1	VA House District 65	
VA House District 66	1	VA House District 66	
VA House District 67	1	VA House District 67	
