cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	VA House District 1 (Democratic Party)	1st State House District (DEM)
CandidateContest	VA House District 1 (Republican Party)	1st State House District (REP)
CandidateContest	VA House District 1	1st State House District
CandidateContest	US Congress VA District 2	2nd Congressional District
Party	Democratic Party	DEM
Party	Republican Party	REP
CountItemType	absentee	# AB - Central Absentee Precinct
CountItemType	provisional	## Provisional
ReportingUnit	Virginia;Falls Church City	FALLS CHURCH CITY
ReportingUnit	Virginia;Alexandria City	ALEXANDRIA CITY
ReportingUnit	Virginia;Bristol City	BRISTOL CITY
ReportingUnit	Virginia;Buena Vista City	BUENA VISTA CITY
ReportingUnit	Virginia;Charlottesville City	CHARLOTTESVILLE CITY
ReportingUnit	Virginia;Chesapeake City	CHESAPEAKE CITY
ReportingUnit	Virginia;Colonial Heights City	COLONIAL HEIGHTS CITY
ReportingUnit	Virginia;Covington City	COVINGTON CITY
ReportingUnit	Virginia;Danville City	DANVILLE CITY
ReportingUnit	Virginia;Emporia City	EMPORIA CITY
ReportingUnit	Virginia;Fairfax City	FAIRFAX CITY
ReportingUnit	Virginia;Franklin City	FRANKLIN CITY
ReportingUnit	Virginia;Fredericksburg City	FREDERICKSBURG CITY
ReportingUnit	Virginia;Galax City	GALAX CITY
ReportingUnit	Virginia;Hampton City	HAMPTON CITY
ReportingUnit	Virginia;Harrisonburg City	HARRISONBURG CITY
ReportingUnit	Virginia;Hopewell City	HOPEWELL CITY
ReportingUnit	Virginia;Lexington City	LEXINGTON CITY
ReportingUnit	Virginia;Lynchburg City	LYNCHBURG CITY
ReportingUnit	Virginia;Manassas City	MANASSAS CITY
ReportingUnit	Virginia;Manassas Park City	MANASSAS PARK CITY
ReportingUnit	Virginia;Martinsville City	MARTINSVILLE CITY
ReportingUnit	Virginia;Newport News City	NEWPORT NEWS CITY
ReportingUnit	Virginia;Norfolk City	NORFOLK CITY
ReportingUnit	Virginia;Norton City	NORTON CITY
ReportingUnit	Virginia;Petersburg City	PETERSBURG CITY
ReportingUnit	Virginia;Poquoson City	POQUOSON CITY
ReportingUnit	Virginia;Portsmouth City	PORTSMOUTH CITY
ReportingUnit	Virginia;Radford City	RADFORD CITY
ReportingUnit	Virginia;Richmond City	RICHMOND CITY
ReportingUnit	Virginia;Roanoke City	ROANOKE CITY
ReportingUnit	Virginia;Salem City	SALEM CITY
ReportingUnit	Virginia;Staunton City	STAUNTON CITY
ReportingUnit	Virginia;Suffolk City	SUFFOLK CITY
ReportingUnit	Virginia;Virginia Beach City	VIRGINIA BEACH CITY
ReportingUnit	Virginia;Waynesboro City	WAYNESBORO CITY
ReportingUnit	Virginia;Williamsburg City	WILLIAMSBURG CITY
ReportingUnit	Virginia;Winchester City	WINCHESTER CITY
ReportingUnit	Virginia;Charles City County	CHARLES CITY COUNTY
ReportingUnit	Virginia;James City County	JAMES CITY COUNTY
ReportingUnit	Virginia;Accomack County	ACCOMACK COUNTY
ReportingUnit	Virginia;Albemarle County	ALBEMARLE COUNTY
ReportingUnit	Virginia;Alleghany County	ALLEGHANY COUNTY
ReportingUnit	Virginia;Amelia County	AMELIA COUNTY
ReportingUnit	Virginia;Amherst County	AMHERST COUNTY
ReportingUnit	Virginia;Appomattox County	APPOMATTOX COUNTY
ReportingUnit	Virginia;Arlington County	ARLINGTON COUNTY
ReportingUnit	Virginia;Augusta County	AUGUSTA COUNTY
ReportingUnit	Virginia;Bath County	BATH COUNTY
ReportingUnit	Virginia;Bedford County	BEDFORD COUNTY
ReportingUnit	Virginia;Bland County	BLAND COUNTY
ReportingUnit	Virginia;Botetourt County	BOTETOURT COUNTY
ReportingUnit	Virginia;Brunswick County	BRUNSWICK COUNTY
