Name	ReportingUnitType
Texas;TX House District 1	state-house
Texas;TX House District 2	state-house
Texas;TX House District 3	state-house
Texas;TX House District 4	state-house
Texas;TX House District 5	state-house
Texas;TX House District 6	state-house
Texas;TX House District 7	state-house
Texas;TX House District 8	state-house
Texas;TX House District 9	state-house
Texas;TX House District 10	state-house
Texas;TX House District 11	state-house
Texas;TX House District 12	state-house
Texas;TX House District 13	state-house
Texas;TX House District 14	state-house
Texas;TX House District 15	state-house
Texas;TX House District 16	state-house
Texas;TX House District 17	state-house
Texas;TX House District 18	state-house
Texas;TX House District 19	state-house
Texas;TX House District 20	state-house
Texas;TX House District 21	state-house
Texas;TX House District 22	state-house
Texas;TX House District 23	state-house
Texas;TX House District 24	state-house
Texas;TX House District 25	state-house
Texas;TX House District 26	state-house
Texas;TX House District 27	state-house
Texas;TX House District 28	state-house
Texas;TX House District 29	state-house
Texas;TX House District 30	state-house
Texas;TX House District 31	state-house
Texas;TX House District 32	state-house
Texas;TX House District 33	state-house
Texas;TX House District 34	state-house
Texas;TX House District 35	state-house
Texas;TX House District 36	state-house
Texas;TX House District 37	state-house
Texas;TX House District 38	state-house
Texas;TX House District 39	state-house
Texas;TX House District 40	state-house
Texas;TX House District 41	state-house
Texas;TX House District 42	state-house
Texas;TX House District 43	state-house
Texas;TX House District 44	state-house
Texas;TX House District 45	state-house
Texas;TX House District 46	state-house
Texas;TX House District 47	state-house
Texas;TX House District 48	state-house
Texas;TX House District 49	state-house
Texas;TX House District 50	state-house
Texas;TX House District 51	state-house
Texas;TX House District 52	state-house
Texas;TX House District 53	state-house
Texas;TX House District 54	state-house
Texas;TX House District 55	state-house
Texas;TX House District 56	state-house
Texas;TX House District 57	state-house
Texas;TX House District 58	state-house
Texas;TX House District 59	state-house
Texas;TX House District 60	state-house
Texas;TX House District 61	state-house
Texas;TX House District 62	state-house
Texas;TX House District 63	state-house
Texas;TX House District 64	state-house
Texas;TX House District 65	state-house
Texas;TX House District 66	state-house
Texas;TX House District 67	state-house
Texas;TX House District 68	state-house
Texas;TX House District 69	state-house
Texas;TX House District 70	state-house
Texas;TX House District 71	state-house
Texas;TX House District 72	state-house
Texas;TX House District 73	state-house
Texas;TX House District 74	state-house
Texas;TX House District 75	state-house
Texas;TX House District 76	state-house
Texas;TX House District 77	state-house
Texas;TX House District 78	state-house
Texas;TX House District 79	state-house
Texas;TX House District 80	state-house
Texas;TX House District 81	state-house
Texas;TX House District 82	state-house
Texas;TX House District 83	state-house
Texas;TX House District 84	state-house
Texas;TX House District 85	state-house
Texas;TX House District 86	state-house
Texas;TX House District 87	state-house
Texas;TX House District 88	state-house
Texas;TX House District 89	state-house
Texas;TX House District 90	state-house
Texas;TX House District 91	state-house
Texas;TX House District 92	state-house
Texas;TX House District 93	state-house
Texas;TX House District 94	state-house
Texas;TX House District 95	state-house
Texas;TX House District 96	state-house
Texas;TX House District 97	state-house
Texas;TX House District 98	state-house
Texas;TX House District 99	state-house
Texas;TX House District 100	state-house
Texas;TX House District 101	state-house
Texas;TX House District 102	state-house
Texas;TX House District 103	state-house
Texas;TX House District 104	state-house
Texas;TX House District 105	state-house
Texas;TX House District 106	state-house
Texas;TX House District 107	state-house
Texas;TX House District 108	state-house
Texas;TX House District 109	state-house
Texas;TX House District 110	state-house
Texas;TX House District 111	state-house
