cdf_element	cdf_internal_name	raw_identifier_value
Party	Democratic Party	DEMOCRAT
Party	none or unknown	OTHER
Party	Republican Party	REPUBLICAN
Party	Libertarian Party	LIBERTARIAN
Party	Green Party	GREEN
Party	A Better Rhode Island Party	a better rhode island
Party	American Party	american
Party	American Constitution Party	american constitution
Party	Amigo Constitution Liberty Party	amigo constitution liberty
Party	Approval Voting Party	approval voting
Party	Berlin-Northfield Alliance Party	berlin-northfield alliance
Party	Bringing Back Manufacturing Party	bringing back manufacturing
Party	C4C 2018 Party	c4c 2018
Party	Candid Common Sense Party	candid common sense
Party	Cannot Be Bought Party	cannot be bought
Party	Check This Column Party	check this column
Party	Clear Water Party	clear water
Party	Common Sense Independent Party	common sense independent
Party	Compassion Party	compassion
Party	Conservative Party	conservative
Party	Constitution Party	constitution
Party	Cooperative Green Economy Party	cooperative green economy
Party	Democratic / Progrogressive Party	dem/prog
Party	Democratic / Repupblican Party	dem/rep
Party	Democratic Party	democrat
Party	Democratic / Republican Party	democrat/republican
Party	Democratic / Republican Party	democrat&republican
Party	Democratic / Republican Party	democratic / republican
Party	Democratic-Farmer-Labor Party	democratic-farmer-labor
Party	Democratic-Npl Party	democratic-npl
Party	Downstate United Party	downstate united
Party	Earth Rights Party	earth rights
Party	Economic Growth Party	economic growth
Party	Ed The Barber Party	ed the barber
Party	Fair Representation Vt Party	fair representation vt
Party	For The People Party	for the people
Party	Freedom, Responsibility, Action Party	freedom, responsibility, action
Party	Grassroots-Legalize Cannabis Party	grassroots-legalize cannabis
Party	Green Party	green
Party	Green Independent Party	green independent
Party	Green Mountain Party	green mountain
Party	Green Party Party	green party
Party	Green-Rainbow Party	green-rainbow
Party	Griebel Frank For Ct Party	griebel frank for ct
Party	Honesty, Integrity, Compassion Party	honesty, integrity, compassion
Party	Hope In Unity Party	hope in unity
Party	In Maio We Trust Party	in maio we trust
Party	Independence Party	independence
Party	Independent Party	independent
Party	Independent American Party	independent american
Party	Independent And Veteran Party	independent and veteran
Party	Independent For Maine Party	independent for maine
Party	Independent Nomination Party	independent nomination
Party	Independent Progressive Party	independent progressive
Party	Independent Republican Party	independent republican
Party	Integrity Transparency Accountability Party	integrity transparency accountability
Party	Legal Marijuana Now Party	legal marijuana now
Party	Legal Medical Now Party	legal medical now
Party	Libertarian Party	libertarian
Party	Libertarian Party Of Florida Party	libertarian party of florida
Party	Liberty Union Party	liberty union
Party	Maine Socialist Party Party	maine socialist party
Party	Make It Simple Party	make it simple
Party	Massachusetts Independent Party	massachusetts independent
Party	Minnesota Green Party	minnesota green
Party	Moderate Party	moderate
Party	Mountain Party	mountain
Party	none or unknown	NA
Party	Natural Law Party	natural law
Party	Never Give Up Party	never give up
Party	New Day Nj Party	new day nj
Party	New Way Forward Party	new way forward
Party	No  Affiliation Party	no  affiliation
Party	No Affiliation Party	no affiliation
Party	none or unknown	no party
Party	none or unknown	no party affiliation
Party	none or unknown	no party preference
Party	Nonpartisan Party	nonpartisan
Party	Pacific Green Party	pacific green
Party	People's Unenrolled Independent Party	people's unenrolled independent
Party	Petitioning Candidate Party	petitioning candidate
Party	Prog / Dem Party	prog/dem
Party	Progressive Party	progressive
Party	Reform Party	reform
Party	Reform Party Of Florida Party	reform party of florida
Party	Republican / Dememocratic Party	rep/dem
Party	Repeal Bail Reform Party	repeal bail reform
Party	Republican Party	republican
Party	Second American Revolution Party	second american revolution
Party	Stop The Insanity Party	stop the insanity
Party	Tax Revolt Party	tax revolt
Party	The Inclusion Candidate Party	the inclusion candidate
Party	Time For Change Party	time for change
Party	Time For Truth Party	time for truth
