cdf_element	cdf_internal_name	raw_identifier_value
Candidate	Aaliyah Bailey	Aaliyah Bailey
Candidate	Aaron C. Mais	Aaron C. Mais
Candidate	Aaron D. Griesheimer	Aaron D. Griesheimer
Candidate	Aaron Hailey	Aaron Hailey
Candidate	Adam Schnelting	Adam Schnelting
Candidate	Adam Schwadron	Adam Schwadron
Candidate	Adrian Plank	Adrian Plank
Candidate	Al Gore	AL GORE
Candidate	Alan Gray	Alan Gray
Candidate	Alex Furman	Alex Furman
Candidate	Alissia Canady	Alissia Canady
Candidate	Allen Andrews	Allen Andrews
Candidate	Andrew Bolin	Andrew Bolin
Candidate	Andrew Koenig	Andrew Koenig
Candidate	Andrew McDaniel	Andrew McDaniel
Candidate	Andrew Miller	Andrew Miller
Candidate	Angela Thomas	Angela Thomas
Candidate	Angela Walton Mosley	Angela Walton Mosley
Candidate	Ann L Zimpfer	Ann L Zimpfer
Candidate	Ann Wagner	Ann Wagner
Candidate	Anne Landers	Anne Landers
Candidate	Annette Turnbaugh	Annette Turnbaugh
Candidate	Anthony Rogers	Anthony Rogers
Candidate	Antwain Winters	Antwain Winters
Candidate	Arnie C. AC Dienoff	Arnie C. AC Dienoff
Candidate	Art Schaaf	Art Schaaf
Candidate	Ashley Aune	Ashley Aune
Candidate	Ashley Bland Manlove	Ashley Bland Manlove
Candidate	Audrey Richards	Audrey Richards
Candidate	Barack Obama	BARACK OBAMA
Candidate	Barbara Anne Washington	Barbara Anne Washington
Candidate	Barbara Phifer	Barbara Phifer
Candidate	Ben Baker	Ben Baker
Candidate	Bill E. Kidd	Bill E. Kidd
Candidate	Bill Eigel	Bill Eigel
Candidate	Bill Falkner	Bill Falkner
Candidate	Bill Heisse	Bill Heisse
Candidate	Bill Otto	Bill Otto
Candidate	Bill Slantz	Bill Slantz
Candidate	Billy Ballard	Billy Ballard
Candidate	Billy Long	Billy Long
Candidate	Blaine Luetkemeyer	Blaine Luetkemeyer
Candidate	Bob Bromley	Bob Bromley
Candidate	Bradley Pollitt	Bradley Pollitt
Candidate	Brady Lee ODell	Brady Lee ODell
Candidate	Brandt Vircks	Brandt Vircks
Candidate	Brenda McKinney	Brenda McKinney
Candidate	Brenda Shields	Brenda Shields
Candidate	Brian Carroll Amar Patel	Brian Carroll Amar Patel
Candidate	Brian H. Seitz	Brian H. Seitz
Candidate	Bridget Walsh Moore	Bridget Walsh Moore
Candidate	Bruce DeGroot	Bruce DeGroot
Candidate	Bruce Sassmann	Bruce Sassmann
Candidate	Caleb Rowden	Caleb Rowden
Candidate	Cameron Pack	Cameron Pack
Candidate	Carl Herman Freese	Carl Herman Freese
Candidate	Chad Perkins	Chad Perkins
Candidate	Charles Chuck Basye	Charles Chuck Basye
Candidate	Cheri Toalson Reisch	Cheri Toalson Reisch
Candidate	Chris Brown	Chris Brown
Candidate	Chris Hager	Chris Hager
Candidate	Chris Sander	Chris Sander
Candidate	Christine Hyman	Christine Hyman
Candidate	Cindy Berne	Cindy Berne
Candidate	Cody Smith	Cody Smith
Candidate	Colby Murphy	Colby Murphy
Candidate	Connie Simmons	Connie Simmons
Candidate	Cori Bush	Cori Bush
Candidate	Dale Speelman	Dale Speelman
Candidate	Dan Houx	Dan Houx
Candidate	Dan Stacy	Dan Stacy
Candidate	Daniel Karam	Daniel Karam
Candidate	Danny Busick	Danny Busick
Candidate	Darrell Atchison	Darrell Atchison
Candidate	Darren L. Grant	Darren L. Grant
Candidate	Dave Griffith	Dave Griffith
Candidate	David J Gregory	David J Gregory
Candidate	David Lenihan	David Lenihan
Candidate	David Martin	David Martin
Candidate	David Paul Evans	David Paul Evans
Candidate	Dean Plocher	Dean Plocher
Candidate	Dean VanSchoiack	Dean VanSchoiack
Candidate	Deb Lavender	Deb Lavender
Candidate	Dennis Davis	Dennis Davis
Candidate	Denny Hoskins	Denny Hoskins
Candidate	Derek Grier	Derek Grier
Candidate	Dirk Deaton	Dirk Deaton
Candidate	Don Blankenship William Mohr	Don Blankenship William Mohr
Candidate	Don Rone	Don Rone
Candidate	Donald J. Trump	DONALD TRUMP
Candidate	Donald J. Trump Michael R. Pence	Donald J. Trump Michael R. Pence
Candidate	Donna M.C. Baringer	Donna M.C. Baringer
Candidate	Donnie Owens	Donnie Owens
Candidate	Dottie Bailey	Dottie Bailey
Candidate	Doug Beck	Doug Beck
Candidate	Doug Clemens	Doug Clemens
Candidate	Doug Richey	Doug Richey
Candidate	Ed Lewis	Ed Lewis
Candidate	Elaine Freeman Gannon	Elaine Freeman Gannon
Candidate	Emanuel Cleaver II	Emanuel Cleaver II
Candidate	Emily Weber	Emily Weber
Candidate	Emmanuel Dorn	Emmanuel Dorn
Candidate	Eric Holmes	Eric Holmes
Candidate	Eric Schmitt	Eric Schmitt
Candidate	Erica Hoffman	Erica Hoffman
Candidate	Gabriel Jones	Gabriel Jones
Candidate	Gena L. Ross	Gena L. Ross
Candidate	George W. Bush	GEORGE W. BUSH
Candidate	Gina Bufe	Gina Bufe
Candidate	Gloria LaRiva Sunil Freeman	Gloria LaRiva Sunil Freeman
Candidate	Greg Razer	Greg Razer
Candidate	Greg Sharpe	Greg Sharpe
Candidate	Gretchen Bangert	Gretchen Bangert
Candidate	Hardy Billington	Hardy Billington
