cdf_element	cdf_internal_name	raw_identifier_value
CountItemType	total	VOTE_TOTAL
CandidateContest	CA House District 1	State Assembly Member District 1
CandidateContest	CA House District 2	State Assembly Member District 2
CandidateContest	CA House District 3	State Assembly Member District 3
CandidateContest	CA House District 4	State Assembly Member District 4
CandidateContest	CA House District 5	State Assembly Member District 5
CandidateContest	CA House District 6	State Assembly Member District 6
CandidateContest	CA House District 7	State Assembly Member District 7
CandidateContest	CA House District 8	State Assembly Member District 8
CandidateContest	CA House District 9	State Assembly Member District 9
CandidateContest	CA House District 10	State Assembly Member District 10
CandidateContest	CA House District 11	State Assembly Member District 11
CandidateContest	CA House District 12	State Assembly Member District 12
CandidateContest	CA House District 13	State Assembly Member District 13
CandidateContest	CA House District 14	State Assembly Member District 14
CandidateContest	CA House District 15	State Assembly Member District 15
CandidateContest	CA House District 16	State Assembly Member District 16
CandidateContest	CA House District 17	State Assembly Member District 17
CandidateContest	CA House District 18	State Assembly Member District 18
CandidateContest	CA House District 19	State Assembly Member District 19
CandidateContest	CA House District 20	State Assembly Member District 20
CandidateContest	CA House District 21	State Assembly Member District 21
CandidateContest	CA House District 22	State Assembly Member District 22
CandidateContest	CA House District 23	State Assembly Member District 23
CandidateContest	CA House District 24	State Assembly Member District 24
CandidateContest	CA House District 25	State Assembly Member District 25
CandidateContest	CA House District 26	State Assembly Member District 26
CandidateContest	CA House District 27	State Assembly Member District 27
CandidateContest	CA House District 28	State Assembly Member District 28
CandidateContest	CA House District 29	State Assembly Member District 29
CandidateContest	CA House District 30	State Assembly Member District 30
CandidateContest	CA House District 31	State Assembly Member District 31
CandidateContest	CA House District 32	State Assembly Member District 32
CandidateContest	CA House District 33	State Assembly Member District 33
CandidateContest	CA House District 34	State Assembly Member District 34
CandidateContest	CA House District 35	State Assembly Member District 35
CandidateContest	CA House District 36	State Assembly Member District 36
CandidateContest	CA House District 37	State Assembly Member District 37
CandidateContest	CA House District 38	State Assembly Member District 38
CandidateContest	CA House District 39	State Assembly Member District 39
CandidateContest	CA House District 40	State Assembly Member District 40
CandidateContest	CA House District 41	State Assembly Member District 41
CandidateContest	CA House District 42	State Assembly Member District 42
