cdf_element	cdf_internal_name	raw_identifier_value
Candidate	A SCJWAMZEMEGGER(Write-In)	A SCJWAMZEMEGGER(Write-In)
Candidate	ADRIAN NOYES(Write-In)	ADRIAN NOYES(Write-In)
Candidate	ADRIAN WALLACE(Write-In)	ADRIAN WALLACE(Write-In)
Candidate	AELIN GALATHYNIUS(Write-In)	AELIN GALATHYNIUS(Write-In)
Candidate	AJ SHINNERS(Write-In)	AJ SHINNERS(Write-In)
Candidate	AL GORE(Write-In)	AL GORE(Write-In)
Candidate	AL SHARPTON(Write-In)	AL SHARPTON(Write-In)
Candidate	ALBERT MOELER(Write-In)	ALBERT MOELER(Write-In)
Candidate	ALEX WRIGHT	ALEX WRIGHT
Candidate	ALEXANDRA OCASIO-CORTEZ(Write-In)	ALEXANDRA OCASIO-CORTEZ(Write-In)
Candidate	ALFRED E NEWMAN(Write-In)	ALFRED E NEWMAN(Write-In)
Candidate	ALICE COOPER(Write-In)	ALICE COOPER(Write-In)
Candidate	ALICE FLANDERS	ALICE FLANDERS
Candidate	ALICE M. EMMONS	ALICE M. EMMONS
Candidate	ALICE W. NITKA	ALICE W. NITKA
Candidate	ALICIA COTE - DOUGLAS COTE(Write-In)	ALICIA COTE/DOUGLAS COTE(Write-In)
Candidate	ALISON H. CLARKSON	ALISON H. CLARKSON
Candidate	ALYSON KENNEDY	ALYSON KENNEDY and MALCOLM JARRETT
Candidate	ALYSSA BLACK	ALYSSA BLACK
Candidate	ALYSSA FILLION(Write-In)	ALYSSA FILLION(Write-In)
Candidate	AMANDA L. MARCY(Write-In)	AMANDA L. MARCY(Write-In)
Candidate	AMY CHESLEY(Write-In)	AMY CHESLEY(Write-In)
Candidate	AMY COMEY BARRETT(Write-In)	AMY COMEY BARRETT(Write-In)
Candidate	AMY KAMSTRA	AMY KAMSTRA
Candidate	AMY KLOBUCHAR(Write-In)	AMY KLOBUCHAR(Write-In)
Candidate	AMY SHELDON	AMY SHELDON
Candidate	ANDREW CUOMO(Write-In)	ANDREW CUOMO(Write-In)
Candidate	ANDREW PERCHLIK	ANDREW PERCHLIK
Candidate	ANDREW VONG(Write-In)	ANDREW VONG(Write-In)
Candidate	ANDREW YANG(Write-In)	ANDREW YANG(Write-In)
Candidate	ANDREW YOUNG & BERNIE SANDERS(Write-In)	ANDREW YOUNG & BERNIE SANDERS(Write-In)
Candidate	ANDREW YOUNG(Write-In)	ANDREW YOUNG(Write-In)
Candidate	ANDY JULOW	ANDY JULOW
Candidate	ANDY WATTS	ANDY WATTS
Candidate	ANN CUMMINGS	ANN CUMMINGS
Candidate	ANN PUGH	ANN PUGH
Candidate	ANNE B. DONAHUE	ANNE B. DONAHUE
Candidate	ANTHONY	ANTHONY
Candidate	ANTHONY 'TONY' O'ROURKE	ANTHONY 'TONY' O'ROURKE
Candidate	ANTHONY FAUCCI(Write-In)	ANTHONY FAUCCI(Write-In)
Candidate	ANTHONY FAUCI(Write-In)	ANTHONY FAUCI(Write-In)
Candidate	ANTHONY POLLINA	ANTHONY POLLINA
Candidate	AOPOPHIS & NERGAL(Write-In)	AOPOPHIS & NERGAL(Write-In)
Candidate	ARCHIE FLOWER	ARCHIE FLOWER
Candidate	ARRON ECKHART(Write-In)	ARRON ECKHART(Write-In)
Candidate	ARTHUR PETERSON	ARTHUR PETERSON
Candidate	AVRAM PATT	AVRAM PATT
Candidate	Al Gore	AL GORE
Candidate	Alyson Kennedy	Alyson Kennedy
Candidate	B.B.B. BROWN (Write-In)	B.B.B. BROWN (Write-In)
Candidate	BARBARA NOYES PULLING	BARBARA NOYES PULLING
Candidate	BARBARA RACHELSON	BARBARA RACHELSON
Candidate	BARBARA SMITH MURPHY	BARBARA SMITH MURPHY
Candidate	BAROCK OBAMA(Write-In)	BAROCK OBAMA(Write-In)
Candidate	BASHEAR TRAVIS(Write-In)	BASHEAR TRAVIS(Write-In)
Candidate	BECCA BALINT	BECCA BALINT
Candidate	BEMJAMIN CARSON(Write-In)	BEMJAMIN CARSON(Write-In)
Candidate	BEN CARSON (Write-In)	BEN CARSON (Write-In)
Candidate	BEN CARSON - MICHAEL PENCE(Write-In)	BEN CARSON/MICHAEL PENCE(Write-In)
Candidate	BEN CARSON(Write-In)	BEN CARSON(Write-In)
Candidate	BEN CHIAPPINELLI	BEN CHIAPPINELLI
Candidate	BEN SASSE(Write-In)	BEN SASSE(Write-In)
Candidate	BEN SHAPIRO(Write-In)	BEN SHAPIRO(Write-In)
Candidate	BENJAMIN MUTOLO	BENJAMIN MUTOLO
Candidate	BENJAMIN SASSE(Write-In)	BENJAMIN SASSE(Write-In)
Candidate	BENN SASSE AND LARRY ILOSAN(Write-In)	BENN SASSE AND LARRY ILOSAN(Write-In)
Candidate	BERNIE SANDERS(Write-In)	BERNIE SANDERS(Write-In)
Candidate	BETH PEARCE	BETH PEARCE
Candidate	BETTY ANN PERRY(Write-In)	BETTY ANN PERRY(Write-In)
Candidate	BETTY WHITE(Write-In)	BETTY WHITE(Write-In)
Candidate	BIDEN - PENCE(Write-In)	BIDEN/PENCE(Write-In)
Candidate	BIDEN PENCE(Write-In)	BIDEN PENCE(Write-In)
Candidate	BILL BELICIEK(Write-In)	BILL BELICIEK(Write-In)
Candidate	BILL BOHNYAK, JR(Write-In)	BILL BOHNYAK, JR(Write-In)
Candidate	BILL GATES(Write-In)	BILL GATES(Write-In)
Candidate	BILL HAMMONS(Write-In)	BILL HAMMONS(Write-In)
Candidate	BILL HUNTER(Write-In)	BILL HUNTER(Write-In)
Candidate	BILL LEE(Write-In)	BILL LEE(Write-In)
Candidate	BILL LIPPERT	BILL LIPPERT
Candidate	BILL T. HUFF	BILL T. HUFF
Candidate	BILL WELCH(Write-In)	BILL WELCH(Write-In)
Candidate	BILL WELD(Write-In)	BILL WELD(Write-In)
Candidate	BLAKE HUBER	BLAKE HUBER and FRANK ATWOOD
Candidate	BLAKE SHELTON(Write-In)	BLAKE SHELTON(Write-In)
Candidate	BLANK(Write-In)	BLANK(Write-In)
Candidate	BRADLEY COOPER(Write-In)	BRADLEY COOPER(Write-In)
Candidate	BRENDA TAYLOR(Write-In)	BRENDA TAYLOR(Write-In)
Candidate	BRET WEINSTEIN(Write-In)	BRET WEINSTEIN(Write-In)
Candidate	BRETT L. GASKILL	BRETT L. GASKILL
Candidate	BRIAN 'BC' COLLAMORE	BRIAN 'BC' COLLAMORE
Candidate	BRIAN CAMPION	BRIAN CAMPION
Candidate	BRIAN CARROLL	BRIAN CARROLL and AMAR PATEL
Candidate	BRIAN CINA	BRIAN CINA
Candidate	BRIAN DUBE(Write-In)	BRIAN DUBE(Write-In)
Candidate	BRIAN K. SAVAGE	BRIAN K. SAVAGE
Candidate	BRIAN SMITH	BRIAN SMITH
Candidate	BRIANNA TAYLOR(Write-In)	BRIANNA TAYLOR(Write-In)
Candidate	BRICE C	BRICE C
Candidate	BRICE C. SIMON	BRICE C. SIMON
Candidate	BRITNEY HALLOCK(Write-In)	BRITNEY HALLOCK(Write-In)
Candidate	BRITTANY D. CAVACAS	BRITTANY D. CAVACAS
Candidate	BROCK ALLEN(Write-In)	BROCK ALLEN(Write-In)
Candidate	BROCK CODERRE	BROCK CODERRE
Candidate	BROCK PIERCE	BROCK PIERCE and KARLA BALLARD
Candidate	BRUCE A	BRUCE A
Candidate	BRUCE A. MELENDY	BRUCE A. MELENDY
Candidate	BRUCE F	BRUCE F
Candidate	BRUCE F. CHEESEMAN	BRUCE F. CHEESEMAN
Candidate	BRUCE SMITH(Write-In)	BRUCE SMITH(Write-In)
Candidate	BRYAN BRUSSA(Write-In)	BRYAN BRUSSA(Write-In)
Candidate	BRYAN LIACCIA(Write-In)	BRYAN LIACCIA(Write-In)
Candidate	BUTTIGIEG(Write-In)	BUTTIGIEG(Write-In)
Candidate	Barack Obama	BARACK OBAMA
Candidate	Blake Huber	Blake Huber
Candidate	Blank VotesBUTTIGIEG(Write-In)	Blank VotesBUTTIGIEG(Write-In)
Candidate	Brian Carroll	Brian Carroll
Candidate	Brock Pierce	Brock Pierce
Candidate	CALEB ELDER	CALEB ELDER
Candidate	CALEB TESKE(Write-In)	CALEB TESKE(Write-In)
Candidate	CALEB WILLHOIT(Write-In)	CALEB WILLHOIT(Write-In)
Candidate	CAMDEN BECK(Write-In)	CAMDEN BECK(Write-In)
Candidate	CANDACE OWENS(Write-In)	CANDACE OWENS(Write-In)
Candidate	CANDICE OWENS(Write-In)	CANDICE OWENS(Write-In)
Candidate	CARL DEMROW	CARL DEMROW
Candidate	CARL HOLCOMB JR - THOMAS JAMES WITMAN(Write-In)	CARL HOLCOMB JR - THOMAS JAMES WITMAN(Write-In)
Candidate	CARL ROSENQUIST	CARL ROSENQUIST
Candidate	CARLI FIORINI - BEN CARSON(Write-In)	CARLI FIORINI/BEN CARSON(Write-In)
Candidate	CAROL ODE	CAROL ODE
Candidate	CAROLYN W	CAROLYN W
Candidate	CAROLYN W. PARTRIDGE	CAROLYN W. PARTRIDGE
Candidate	CAROLYN WHITNEY BRANAGAN	CAROLYN WHITNEY BRANAGAN
Candidate	CASEY JENNINGS	CASEY JENNINGS
Candidate	CASEY TOOF	CASEY TOOF
Candidate	CHAD BULLOCK(Write-In)	CHAD BULLOCK(Write-In)
Candidate	CHAREN FEGARD	CHAREN FEGARD
Candidate	CHARLES 'BUTCH' SHAW	CHARLES 'BUTCH' SHAW
Candidate	CHARLES BARKLEY(Write-In)	CHARLES BARKLEY(Write-In)
Candidate	CHARLES NYE (Write-In)	CHARLES NYE (Write-In)
Candidate	CHARLES P SMITH(Write-In)	CHARLES P SMITH(Write-In)
Candidate	CHARLES RUSSELL	CHARLES RUSSELL
Candidate	CHARLES W. WILSON	CHARLES W. WILSON
Candidate	CHARLEY SCHOENBECK(Write-In)	CHARLEY SCHOENBECK(Write-In)
Candidate	CHARLIE BAKER(Write-In)	CHARLIE BAKER(Write-In)
Candidate	CHARLIE KIMBELL	CHARLIE KIMBELL
Candidate	CHARLIE KRAHN(Write-In)	CHARLIE KRAHN(Write-In)
Candidate	CHARLY DICKERSON	CHARLY DICKERSON
Candidate	CHEDDAR STUMP(Write-In)	CHEDDAR STUMP(Write-In)
Candidate	CHEDDAR(Write-In)	CHEDDAR(Write-In)
Candidate	CHERYL M. HOOKER	CHERYL M. HOOKER
Candidate	CHESTER ALDEN	CHESTER ALDEN
Candidate	CHIP TROIANO	CHIP TROIANO
Candidate	CHLOE COLLINS	CHLOE COLLINS
Candidate	CHRIS MATTOS	CHRIS MATTOS
Candidate	CHRIS RIELLY(Write-In)	CHRIS RIELLY(Write-In)
Candidate	CHRIS VIENS	CHRIS VIENS
Candidate	CHRISOTPHER M ANTRY(Write-In)	CHRISOTPHER M ANTRY(Write-In)
Candidate	CHRISTINA NANOPOLOUS(Write-In)	CHRISTINA NANOPOLOUS(Write-In)
Candidate	CHRISTOPHER BOLOGNA(Write-In)	CHRISTOPHER BOLOGNA(Write-In)
Candidate	CHRISTOPHER BRAY	CHRISTOPHER BRAY
Candidate	CHRISTOPHER HELALI	Christopher Helali
Candidate	CHRISTOPHER LAFONTAINE	CHRISTOPHER LAFONTAINE and MICHAEL SPEED
Candidate	CHRISTOPHER PEARSON	CHRISTOPHER PEARSON
Candidate	CHRISTOPHER SUNUNU(Write-In)	CHRISTOPHER SUNUNU(Write-In)
Candidate	CHUCK NORRIS(Write-In)	CHUCK NORRIS(Write-In)
Candidate	CIARAM NOBLE(Write-In)	CIARAM NOBLE(Write-In)
Candidate	CJ JOHN ROBERTS(Write-In)	CJ JOHN ROBERTS(Write-In)
Candidate	CLAUDE GIROUX(Write-In)	CLAUDE GIROUX(Write-In)
Candidate	CLEMENT	CLEMENT
Candidate	CLEMENT 'CLEM' BISSONNETTE	CLEMENT 'CLEM' BISSONNETTE
Candidate	COLIN POWELL(Write-In)	COLIN POWELL(Write-In)
Candidate	COLLEEN HARRINGTON	COLLEEN HARRINGTON
Candidate	CONDOLEEZZA RICE(Write-In)	CONDOLEEZZA RICE(Write-In)
Candidate	COREY BOOKER(Write-In)	COREY BOOKER(Write-In)
Candidate	COREY PARENT	COREY PARENT
Candidate	CORNELL WEST(Write-In)	CORNELL WEST(Write-In)
Candidate	COURTNEY DEVLIN(Write-In)	COURTNEY DEVLIN(Write-In)
Candidate	CRIS ERICSON	CRIS ERICSON
Candidate	CTHULHU(Write-In)	CTHULHU(Write-In)
Candidate	CURT MCCORMACK	CURT MCCORMACK
Candidate	CURT TAYLOR	CURT TAYLOR
Candidate	CYNTHIA BROWNING	CYNTHIA BROWNING
Candidate	Christopher Lafontaine	Christopher Lafontaine
Candidate	D. THURBER(Write-In)	D. THURBER(Write-In)
Candidate	DAISY JOHNSON(Write-In)	DAISY JOHNSON(Write-In)
Candidate	DAKOTA FLEURY(Write-In)	DAKOTA FLEURY(Write-In)
Candidate	DAN CRENSHAW(Write-In)	DAN CRENSHAW(Write-In)
Candidate	DAN FRANCHA(Write-In)	DAN FRANCHA(Write-In)
Candidate	DAN FRASER(Write-In)	DAN FRASER(Write-In)
Candidate	DAN HALLOWAY & DAKOTA MYER(Write-In)	DAN HALLOWAY & DAKOTA MYER(Write-In)
Candidate	DAN LIPINSKI(Write-In)	DAN LIPINSKI(Write-In)
Candidate	DAN MERRILS(Write-In)	DAN MERRILS(Write-In)
Candidate	DAN RATHER(Write-In)	DAN RATHER(Write-In)
Candidate	DAN ROLLINS(Write-In)	DAN ROLLINS(Write-In)
Candidate	DAN SCOTT(Write-In)	DAN SCOTT(Write-In)
Candidate	DANE WHITMAN	DANE WHITMAN
Candidate	DANIEL AIROLDI(Write-In)	DANIEL AIROLDI(Write-In)
Candidate	DANIEL CALLAHAN AND SUE FOWLER(Write-In)	DANIEL CALLAHAN AND SUE FOWLER(Write-In)
Candidate	DANIEL NADEAU	DANIEL NADEAU
Candidate	DANIEL NOYES	DANIEL NOYES
Candidate	DAVE EMERY(Write-In)	DAVE EMERY(Write-In)
Candidate	DAVE MARX -  JOSH DOUBLEDAY(Write-In)	DAVE MARX/ JOSH DOUBLEDAY(Write-In)
Candidate	DAVE POTTER	DAVE POTTER
Candidate	DAVID COOTWARE(Write-In)	DAVID COOTWARE(Write-In)
Candidate	DAVID FRENCH (Write-In)	DAVID FRENCH (Write-In)
Candidate	DAVID GLIDDEN	DAVID GLIDDEN
