Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Michigan	2016 General	US President (MI)	Michigan	total	4799284	official-final		
Michigan	2016 General	US House MI District 4	Michigan	total	315751	official-final		
Michigan	2016 General	MI House District 8	Michigan	total	34742	official-final		
Michigan	2018 General	MI Governor	Michigan	total	4250585	official-final		
Michigan	2018 General	US House MI District 3	Michigan	total	310740	official-final		
Michigan	2018 General	MI Senate District 37	Michigan	total	124414	official-final		
Michigan	2018 General	MI House District 8	Michigan	total	28017	official-final		
Michigan	2018 General	MI Governor	Michigan;Wayne County	total	659859	official-final		
Michigan	2020 General	US President (MI)	Michigan	total	5539302	official-final		
Michigan	2020 General	US House MI District 2	Michigan	total	403247	official-final		
Michigan	2020 General	MI House District 1	Michigan	total	39224	official-final		
Michigan	2020 General	US President (MI)	Michigan;Alger County	total	5128	official-final		
Michigan	2020 Democratic Primary	US President (MI)	Michigan	total	1587679	official-final		
Michigan	2020 Democratic Primary	US Senate MI	Michigan	total	1180780	official-final		
Michigan	2020 Republican Primary	US House MI District 5	Michigan	total	47367	official-final		
Michigan	2020 Republican Primary	MI House District 8	Michigan	total	238	official-final		
Michigan	2000 General	US President (MI)	Michigan	total	4232711	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Michigan	2004 General	US President (MI)	Michigan	total	4839252	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Michigan	2008 General	US President (MI)	Michigan	total	5001766	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
Michigan	2012 General	US President (MI)	Michigan	total	4730961	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
