Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Arizona	2020 General	US President (AZ)	Arizona	total	3385294	official-final		
Arizona	2020 General	US House AZ District 1	Arizona	total	365178	official-final		
Arizona	2020 General	AZ House District 1	Arizona	total	225667	official-final		
Arizona	2020 General	AZ Senate District 1	Arizona	total	145775	official-final		
Arizona	2020 General	US President (AZ)	Arizona	early	2986962	official-final		
Arizona	2020 General	US President (AZ)	Arizona;Apache County	total	35172	official-final		
Arizona	2020 Democratic Primary	US President (AZ)	Arizona	total	536509	official-final		
Arizona	2020 Republican Primary	US House AZ District 3	Arizona	total	29260	official-final		
Arizona	2020 Democratic Primary	AZ House District 8	Arizona	total	13727	official-final		
Arizona	2020 Republican Primary	AZ Senate District 10	Arizona	total	19891	official-final		
