Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
Indiana	2016 General	US President (IN)	Indiana	total	2728138	official-final		
Indiana	2016 General	IN Attorney General	Indiana	total	2635832	official-final		
Indiana	2016 General	IN Senate District 7	Indiana	total	50622	official-final		
Indiana	2016 General	IN House District 13	Indiana	total	26712	official-final		
Indiana	2018 General	US Senate IN	Indiana	total	2282565	official-final		
Indiana	2018 General	IN Senate District 14	Indiana	total	34542	official-final		
Indiana	2018 General	IN House District 27	Indiana	total	12238	official-final		
Indiana	2020 General	US President (IN)	Indiana	total	3033121	official-final		
Indiana	2020 General	US House IN District 3	Indiana	total	325751	official-final		
Indiana	2020 General	IN Senate District 16	Indiana	total	61149	official-final		
Indiana	2020 General	IN House District 4	Indiana	total	36776	official-final		
Indiana	2020 General	US President (IN)	Indiana;Lawrence County	total	21025	official-final		
Indiana	2020 Primary	US President (IN)	Indiana	total	1047173	official-final		
Indiana	2021 Primary	IN Governor	Indiana	total	932726	official-final		
Indiana	2022 Primary	IN Senate District 50	Indiana	total	6860	official-final		
Indiana	2023 Primary	IN House District 3	Indiana	total	7975	official-final		
