Jurisdiction	Election	Contest	ReportingUnit	VoteType	Count	Status	Source	Note
New Hampshire	2020 General	US President (NH)	New Hampshire	total	803810	official-final		
New Hampshire	2020 General	US House NH District 2	New Hampshire	total	386441	official-final		
New Hampshire	2020 General	US President (NH)	New Hampshire;Belknap County	total	38391	official-final		
New Hampshire	2020 Democratic Primary	US President (NH)	New Hampshire	total	298377	official-final		
New Hampshire	2020 Republican Primary	US President (NH)	New Hampshire	total	153711	official-final		
New Hampshire	2020 Republican Primary	US Senate NH	New Hampshire	total	139117	official-final		
New Hampshire	2020 Democratic Primary	US Senate NH	New Hampshire	total	151405	official-final		
New Hampshire	2000 General	US President (NH)	New Hampshire	total	569081	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Hampshire	2004 General	US President (NH)	New Hampshire	total	677662	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Hampshire	2008 General	US President (NH)	New Hampshire	total	710970	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Hampshire	2012 General	US President (NH)	New Hampshire	total	710931	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
New Hampshire	2016 General	US President (NH)	New Hampshire	total	744296	official-final	https://doi.org/10.7910/DVN/VOQCHQ	
