Name	NumberElected	Office	PrimaryParty
SC House District 1	1	SC House District 1	
SC House District 2	1	SC House District 2	
SC House District 3	1	SC House District 3	
SC House District 4	1	SC House District 4	
SC House District 5	1	SC House District 5	
SC House District 6	1	SC House District 6	
SC House District 7	1	SC House District 7	
SC House District 8	1	SC House District 8	
SC House District 9	1	SC House District 9	
SC House District 10	1	SC House District 10	
SC House District 11	1	SC House District 11	
SC House District 12	1	SC House District 12	
SC House District 13	1	SC House District 13	
SC House District 14	1	SC House District 14	
SC House District 15	1	SC House District 15	
SC House District 16	1	SC House District 16	
SC House District 17	1	SC House District 17	
SC House District 18	1	SC House District 18	
SC House District 19	1	SC House District 19	
SC House District 20	1	SC House District 20	
SC House District 21	1	SC House District 21	
SC House District 22	1	SC House District 22	
SC House District 23	1	SC House District 23	
SC House District 24	1	SC House District 24	
SC House District 25	1	SC House District 25	
SC House District 26	1	SC House District 26	
SC House District 27	1	SC House District 27	
SC House District 28	1	SC House District 28	
SC House District 29	1	SC House District 29	
SC House District 30	1	SC House District 30	
SC House District 31	1	SC House District 31	
SC House District 32	1	SC House District 32	
SC House District 33	1	SC House District 33	
SC House District 34	1	SC House District 34	
SC House District 35	1	SC House District 35	
SC House District 36	1	SC House District 36	
SC House District 37	1	SC House District 37	
SC House District 38	1	SC House District 38	
SC House District 39	1	SC House District 39	
SC House District 40	1	SC House District 40	
SC House District 41	1	SC House District 41	
SC House District 42	1	SC House District 42	
SC House District 43	1	SC House District 43	
SC House District 44	1	SC House District 44	
SC House District 45	1	SC House District 45	
SC House District 46	1	SC House District 46	
SC House District 47	1	SC House District 47	
SC House District 48	1	SC House District 48	
SC House District 49	1	SC House District 49	
SC House District 50	1	SC House District 50	
SC House District 51	1	SC House District 51	
SC House District 52	1	SC House District 52	
SC House District 53	1	SC House District 53	
SC House District 54	1	SC House District 54	
SC House District 55	1	SC House District 55	
SC House District 56	1	SC House District 56	
SC House District 57	1	SC House District 57	
SC House District 58	1	SC House District 58	
SC House District 59	1	SC House District 59	
SC House District 60	1	SC House District 60	
SC House District 61	1	SC House District 61	
SC House District 62	1	SC House District 62	
SC House District 63	1	SC House District 63	
SC House District 64	1	SC House District 64	
SC House District 65	1	SC House District 65	
SC House District 66	1	SC House District 66	
SC House District 67	1	SC House District 67	
SC House District 68	1	SC House District 68	
SC House District 69	1	SC House District 69	
SC House District 70	1	SC House District 70	
SC House District 71	1	SC House District 71	
SC House District 72	1	SC House District 72	
SC House District 73	1	SC House District 73	
SC House District 74	1	SC House District 74	
SC House District 75	1	SC House District 75	
SC House District 76	1	SC House District 76	
SC House District 77	1	SC House District 77	
SC House District 78	1	SC House District 78	
SC House District 79	1	SC House District 79	
SC House District 80	1	SC House District 80	
SC House District 81	1	SC House District 81	
SC House District 82	1	SC House District 82	
SC House District 83	1	SC House District 83	
SC House District 84	1	SC House District 84	
SC House District 85	1	SC House District 85	
SC House District 86	1	SC House District 86	
SC House District 87	1	SC House District 87	
SC House District 88	1	SC House District 88	
SC House District 89	1	SC House District 89	
SC House District 90	1	SC House District 90	
SC House District 91	1	SC House District 91	
SC House District 92	1	SC House District 92	
SC House District 93	1	SC House District 93	
SC House District 94	1	SC House District 94	
SC House District 95	1	SC House District 95	
SC House District 96	1	SC House District 96	
SC House District 97	1	SC House District 97	
