cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	TN House District 1	Tennessee House of Representatives District 1
CandidateContest	TN House District 2	Tennessee House of Representatives District 2
CandidateContest	TN House District 3	Tennessee House of Representatives District 3
CandidateContest	TN House District 4	Tennessee House of Representatives District 4
CandidateContest	TN House District 5	Tennessee House of Representatives District 5
CandidateContest	TN House District 6	Tennessee House of Representatives District 6
CandidateContest	TN House District 7	Tennessee House of Representatives District 7
CandidateContest	TN House District 8	Tennessee House of Representatives District 8
CandidateContest	TN House District 9	Tennessee House of Representatives District 9
CandidateContest	TN House District 10	Tennessee House of Representatives District 10
CandidateContest	TN House District 11	Tennessee House of Representatives District 11
CandidateContest	TN House District 12	Tennessee House of Representatives District 12
CandidateContest	TN House District 13	Tennessee House of Representatives District 13
CandidateContest	TN House District 14	Tennessee House of Representatives District 14
CandidateContest	TN House District 15	Tennessee House of Representatives District 15
CandidateContest	TN House District 16	Tennessee House of Representatives District 16
CandidateContest	TN House District 17	Tennessee House of Representatives District 17
CandidateContest	TN House District 18	Tennessee House of Representatives District 18
CandidateContest	TN House District 19	Tennessee House of Representatives District 19
CandidateContest	TN House District 20	Tennessee House of Representatives District 20
CandidateContest	TN House District 21	Tennessee House of Representatives District 21
CandidateContest	TN House District 22	Tennessee House of Representatives District 22
CandidateContest	TN House District 23	Tennessee House of Representatives District 23
CandidateContest	TN House District 24	Tennessee House of Representatives District 24
CandidateContest	TN House District 25	Tennessee House of Representatives District 25
CandidateContest	TN House District 26	Tennessee House of Representatives District 26
CandidateContest	TN House District 27	Tennessee House of Representatives District 27
CandidateContest	TN House District 28	Tennessee House of Representatives District 28
CandidateContest	TN House District 29	Tennessee House of Representatives District 29
CandidateContest	TN House District 30	Tennessee House of Representatives District 30
CandidateContest	TN House District 31	Tennessee House of Representatives District 31
CandidateContest	TN House District 32	Tennessee House of Representatives District 32
CandidateContest	TN House District 33	Tennessee House of Representatives District 33
CandidateContest	TN House District 34	Tennessee House of Representatives District 34
CandidateContest	TN House District 35	Tennessee House of Representatives District 35
CandidateContest	TN House District 36	Tennessee House of Representatives District 36
CandidateContest	TN House District 37	Tennessee House of Representatives District 37
CandidateContest	TN House District 38	Tennessee House of Representatives District 38
CandidateContest	TN House District 39	Tennessee House of Representatives District 39
CandidateContest	TN House District 40	Tennessee House of Representatives District 40
CandidateContest	TN House District 41	Tennessee House of Representatives District 41
CandidateContest	TN House District 42	Tennessee House of Representatives District 42
CandidateContest	TN House District 43	Tennessee House of Representatives District 43
CandidateContest	TN House District 44	Tennessee House of Representatives District 44
CandidateContest	TN House District 45	Tennessee House of Representatives District 45
CandidateContest	TN House District 46	Tennessee House of Representatives District 46
CandidateContest	TN House District 47	Tennessee House of Representatives District 47
CandidateContest	TN House District 48	Tennessee House of Representatives District 48
CandidateContest	TN House District 49	Tennessee House of Representatives District 49
CandidateContest	TN House District 50	Tennessee House of Representatives District 50
CandidateContest	TN House District 51	Tennessee House of Representatives District 51
CandidateContest	TN House District 52	Tennessee House of Representatives District 52
CandidateContest	TN House District 53	Tennessee House of Representatives District 53
CandidateContest	TN House District 54	Tennessee House of Representatives District 54
CandidateContest	TN House District 55	Tennessee House of Representatives District 55
CandidateContest	TN House District 56	Tennessee House of Representatives District 56
CandidateContest	TN House District 57	Tennessee House of Representatives District 57
CandidateContest	TN House District 58	Tennessee House of Representatives District 58
CandidateContest	TN House District 59	Tennessee House of Representatives District 59
CandidateContest	TN House District 60	Tennessee House of Representatives District 60
CandidateContest	TN House District 61	Tennessee House of Representatives District 61
CandidateContest	TN House District 62	Tennessee House of Representatives District 62
CandidateContest	TN House District 63	Tennessee House of Representatives District 63
CandidateContest	TN House District 64	Tennessee House of Representatives District 64
CandidateContest	TN House District 65	Tennessee House of Representatives District 65
CandidateContest	TN House District 66	Tennessee House of Representatives District 66
CandidateContest	TN House District 67	Tennessee House of Representatives District 67
CandidateContest	TN House District 68	Tennessee House of Representatives District 68
CandidateContest	TN House District 69	Tennessee House of Representatives District 69
CandidateContest	TN House District 70	Tennessee House of Representatives District 70
CandidateContest	TN House District 71	Tennessee House of Representatives District 71
CandidateContest	TN House District 72	Tennessee House of Representatives District 72
